,Unnamed: 0,Unnamed: 0.1,station_id,longitude,latitude,station_type_id,station_name,station_id_int
0,0,0,dongsi_aq,116.417,39.929,0,dongsi_aq,0
1,1,1,tiantan_aq,116.407,39.886,0,tiantan_aq,1
2,2,2,guanyuan_aq,116.339,39.929,0,guanyuan_aq,2
3,3,3,wanshouxigong_aq,116.352,39.878,0,wanshouxigong_aq,3
4,4,4,aotizhongxin_aq,116.397,39.982,0,aotizhongxin_aq,4
5,5,5,nongzhanguan_aq,116.461,39.937,0,nongzhanguan_aq,5
6,6,6,wanliu_aq,116.287,39.987,0,wanliu_aq,6
7,7,7,beibuxinqu_aq,116.174,40.09,0,beibuxinqu_aq,7
8,8,8,zhiwuyuan_aq,116.207,40.002,0,zhiwuyuan_aq,8
9,9,9,fengtaihuayuan_aq,116.279,39.863,0,fengtaihuayuan_aq,9
10,10,10,yungang_aq,116.146,39.824,0,yungang_aq,10
11,11,11,gucheng_aq,116.184,39.914,0,gucheng_aq,11
12,12,12,fangshan_aq,116.136,39.742,1,fangshan_aq,12
13,13,13,daxing_aq,116.404,39.718,1,daxing_aq,13
14,14,14,yizhuang_aq,116.506,39.795,1,yizhuang_aq,14
15,15,15,tongzhou_aq,116.663,39.886,1,tongzhou_aq,15
16,16,16,shunyi_aq,116.655,40.127,1,shunyi_aq,16
17,17,17,pingchang_aq,116.23,40.217,1,pingchang_aq,17
18,18,18,mentougou_aq,116.106,39.937,1,mentougou_aq,18
19,19,19,pinggu_aq,117.1,40.143,1,pinggu_aq,19
20,20,20,huairou_aq,116.628,40.328,1,huairou_aq,20
21,21,21,miyun_aq,116.832,40.37,1,miyun_aq,21
22,22,22,yanqin_aq,115.972,40.453,1,yanqin_aq,22
23,23,23,dingling_aq,116.22,40.292,2,dingling_aq,23
24,24,24,badaling_aq,115.988,40.365,2,badaling_aq,24
25,25,25,miyunshuiku_aq,116.911,40.499,2,miyunshuiku_aq,25
26,26,26,donggaocun_aq,117.12,40.1,2,donggaocun_aq,26
27,27,27,yongledian_aq,116.783,39.712,2,yongledian_aq,27
28,28,28,yufa_aq,116.3,39.52,2,yufa_aq,28
29,29,29,liulihe_aq,116.0,39.58,2,liulihe_aq,29
30,30,30,qianmen_aq,116.395,39.899,3,qianmen_aq,30
31,31,31,yongdingmennei_aq,116.394,39.876,3,yongdingmennei_aq,31
32,32,32,xizhimenbei_aq,116.349,39.954,3,xizhimenbei_aq,32
33,33,33,nansanhuan_aq,116.368,39.856,3,nansanhuan_aq,33
34,34,34,dongsihuan_aq,116.483,39.939,3,dongsihuan_aq,34
